age,gender,income,daily_gaming_hours,weekly_sessions,years_gaming,sleep_hours,caffeine_intake,exercise_hours,stress_level,anxiety_score,depression_score,social_interaction_score,relationship_satisfaction,academic_performance,work_productivity,addiction_level,multiplayer_ratio,toxic_exposure,violent_games_ratio,mobile_gaming_ratio,night_gaming_ratio,weekend_gaming_hours,friends_gaming_count,online_friends,streaming_hours,esports_interest,headset_usage,microtransactions_spending,parental_supervision,loneliness_score,aggression_score,happiness_score,bmi,screen_time_total,eye_strain_score,back_pain_score,competitive_rank,internet_quality
32,Male,93909,5.51,2,6,4.6,0.05,4.81,7,6.99,5.7,5.83,5.57,57.4,95.52,3.3,0.87,0.32,0.42,0.53,0.23,6.78,12,473,1.17,5,1,386.31,7,6.02,5.28,7.71,21.16,7.9,4.98,1.76,69,5
20,Female,142394,1.47,25,24,8.43,0.71,1.5,4,4.56,5.49,7.27,10.0,41.83,57.58,0.0,0.12,0.23,0.52,0.63,0.18,3.01,14,270,1.28,2,1,265.03,9,5.86,5.17,10.0,21.46,4.59,3.93,2.78,48,10
59,Male,16171,4.4,20,10,10.05,0.06,1.12,9,3.75,2.01,6.3,5.7,59.73,86.1,3.84,0.24,0.1,0.5,0.52,0.27,6.17,10,294,5.0,10,0,63.68,1,4.7,4.08,1.13,20.28,10.74,4.46,2.9,73,5
19,Female,12557,2.59,27,10,5.61,0.52,0.66,10,5.21,3.89,5.89,7.89,71.7,68.37,1.61,0.24,0.07,0.71,0.64,0.45,7.43,20,201,2.13,8,1,217.01,3,4.25,6.27,7.4,21.4,9.89,5.77,5.54,74,1
50,Male,65308,5.65,10,2,5.34,2.86,3.74,1,8.14,8.69,4.57,2.91,57.36,57.26,3.77,0.42,0.05,0.54,0.62,0.09,1.15,31,93,2.77,6,0,164.76,10,6.67,5.15,9.24,21.39,11.1,4.45,3.75,63,4
52,Female,31528,5.8,24,22,8.95,0.84,0.5,2,8.29,3.83,3.78,4.92,67.63,67.98,3.62,0.55,0.2,0.16,0.31,0.34,2.81,44,233,0.52,1,1,481.16,4,6.36,4.56,2.36,19.62,8.85,7.85,0.53,9,7
49,Other,134803,0.67,31,20,6.14,6.73,0.47,5,6.74,8.91,6.79,7.35,83.66,67.93,0.39,0.6,0.3,0.5,0.92,0.57,5.17,18,339,2.18,4,0,360.77,0,5.88,2.54,7.57,26.45,2.86,4.24,2.9,59,6
48,Female,71288,1.44,4,9,5.86,1.02,3.32,4,5.83,2.73,6.76,2.95,89.59,79.58,1.22,0.66,0.33,0.16,0.87,0.34,6.88,4,455,0.25,8,1,171.48,1,4.69,3.44,8.39,21.66,4.43,5.66,5.15,67,4
55,Other,143943,5.21,12,19,9.28,0.57,7.12,9,7.16,9.14,7.41,7.49,64.15,91.66,4.43,0.66,0.23,0.59,0.55,0.4,2.81,8,335,0.67,4,0,10.05,7,6.89,2.53,4.35,27.56,8.53,5.41,3.02,90,2
47,Male,41350,3.47,10,11,7.27,1.17,5.86,9,3.41,4.31,7.06,8.31,90.01,70.96,3.51,0.65,0.09,0.69,0.59,0.47,2.41,2,333,0.6,5,1,96.11,0,3.57,4.25,3.79,19.72,7.89,4.85,3.48,77,7
32,Male,32631,4.79,31,21,8.52,1.07,3.63,7,5.9,3.08,5.24,5.83,63.04,63.52,2.43,0.37,0.28,0.25,0.37,0.38,6.96,16,225,0.86,2,0,925.3,7,3.45,5.79,4.62,26.75,8.36,4.07,2.63,65,2
39,Female,54934,3.07,21,3,9.19,0.16,1.95,6,5.82,3.89,2.78,6.36,65.66,100.0,0.34,0.44,0.3,0.19,0.48,0.17,3.65,48,499,2.14,10,0,215.72,4,5.45,4.77,8.29,21.64,11.4,1.23,2.8,70,6
38,Other,18166,6.41,17,17,5.54,7.28,3.66,3,9.19,1.51,3.44,6.11,77.68,43.08,3.63,0.3,0.01,0.36,0.13,0.58,6.37,40,193,2.22,4,1,261.88,1,0.0,2.99,7.42,21.87,7.31,2.31,3.75,68,2
51,Female,117702,7.35,1,10,6.75,2.03,3.97,8,4.81,5.47,7.1,6.54,60.39,84.37,4.66,0.6,0.06,0.55,0.31,0.51,7.05,40,399,1.09,4,1,442.31,2,6.21,7.48,6.54,22.36,10.51,4.25,3.19,1,1
23,Female,81108,7.91,31,22,6.26,0.65,7.92,1,4.76,4.05,8.74,3.17,67.77,70.25,5.3,0.64,0.43,0.64,0.86,0.19,6.38,31,484,1.12,9,0,632.34,1,4.18,0.12,8.25,20.7,10.86,3.79,6.73,55,7
51,Female,73079,2.1,33,1,7.03,3.42,6.51,9,4.66,7.41,5.76,7.31,63.33,48.56,2.63,0.12,0.07,0.17,0.76,0.28,11.6,44,297,3.11,1,0,1143.05,2,4.69,5.86,8.0,30.44,4.74,7.1,6.48,23,5
18,Female,114030,4.9,37,24,5.23,5.87,0.42,3,3.32,8.92,6.62,5.93,85.64,62.83,3.19,0.5,0.36,0.18,0.63,0.37,3.11,15,132,2.19,8,0,1498.96,2,6.01,2.68,9.92,25.24,12.37,7.31,6.64,22,9
53,Female,137360,2.29,6,7,8.77,1.86,4.41,7,4.92,8.05,5.57,5.25,61.91,53.88,2.16,0.73,0.21,0.48,0.35,0.25,3.21,17,69,4.97,5,1,189.18,3,3.07,2.51,7.79,23.85,10.6,5.95,4.7,72,1
50,Male,76139,2.23,8,22,4.51,2.59,1.61,8,6.69,5.37,4.41,7.08,46.19,54.26,1.99,0.56,0.18,0.34,0.31,0.43,1.7,8,180,3.95,6,1,68.2,9,4.22,5.95,7.47,29.38,3.26,3.75,3.96,42,10
25,Female,77701,1.62,28,20,7.22,2.36,1.89,2,3.24,7.79,7.14,5.95,73.19,50.6,1.83,0.94,0.45,0.6,0.37,0.79,10.24,45,388,5.09,9,0,295.65,2,5.36,4.88,6.38,17.24,2.7,6.52,3.04,56,2
48,Female,42586,1.49,2,7,8.06,0.14,0.8,4,5.58,2.31,3.41,7.7,78.24,66.81,0.0,0.5,0.06,0.12,0.59,0.99,10.54,31,188,3.95,8,1,3774.88,10,2.35,2.42,10.0,25.77,2.62,7.31,2.44,23,8
41,Female,106513,1.9,22,21,7.83,3.81,0.28,6,3.96,0.75,2.48,6.92,75.78,73.68,0.79,0.76,0.39,0.12,0.51,0.69,5.76,40,338,0.83,4,0,528.9,3,8.47,8.48,7.35,25.29,7.28,0.27,4.21,19,5
25,Female,65914,0.86,6,22,5.73,0.79,5.16,4,4.63,6.02,6.97,5.2,57.0,78.39,1.22,0.47,0.43,0.29,0.48,0.21,15.19,24,52,0.88,8,1,88.06,9,3.04,2.33,3.93,17.07,5.09,3.14,4.28,68,2
55,Male,125570,1.95,8,24,7.16,0.69,0.91,9,2.47,9.01,4.91,5.74,77.58,59.04,1.58,0.53,0.13,0.53,0.31,0.43,11.1,48,73,1.03,1,1,52.52,8,9.74,5.83,5.04,25.75,3.23,4.7,3.4,53,7
16,Male,74648,1.57,5,14,6.55,1.77,1.69,8,3.82,3.87,6.44,5.74,41.41,51.29,0.39,0.9,0.37,0.53,0.12,0.15,6.05,25,382,1.68,1,1,4.99,6,5.54,3.33,4.95,24.21,3.43,5.84,4.33,77,3
35,Female,84300,1.89,16,9,8.12,1.55,0.76,3,6.06,4.11,8.17,6.15,59.86,82.66,1.48,0.61,0.32,0.41,0.36,0.6,5.19,4,218,1.18,4,0,901.62,8,3.32,2.38,5.44,24.4,3.09,5.14,5.99,48,2
53,Female,13436,4.9,10,9,5.66,1.47,1.82,5,5.85,2.2,8.27,4.55,69.61,74.78,2.6,0.63,0.34,0.36,0.86,0.23,4.12,4,55,1.53,5,1,660.01,8,6.58,10.0,2.31,18.08,10.33,3.69,3.43,70,3
48,Female,70284,0.93,17,7,10.3,1.63,3.39,5,6.59,8.19,4.99,6.5,72.94,51.58,0.0,0.51,0.18,0.4,0.74,0.37,2.38,30,437,3.43,5,0,1050.68,10,3.27,7.5,7.59,22.88,1.13,1.4,4.73,31,3
46,Female,67446,3.53,32,2,5.35,0.49,1.15,8,7.3,3.9,3.25,8.39,89.92,52.74,2.66,0.5,0.34,0.06,0.38,0.65,2.81,36,305,1.97,6,1,243.27,0,3.86,5.17,4.59,30.43,4.83,4.64,7.45,29,3
28,Male,17768,6.95,14,21,6.93,0.12,1.2,5,4.87,3.03,2.15,7.1,44.37,70.69,5.08,0.34,0.28,0.31,0.41,0.49,8.53,26,58,0.83,9,0,124.23,9,5.1,6.5,8.24,16.41,11.68,5.43,2.06,43,3
39,Female,54762,7.42,33,8,8.77,0.27,1.07,1,9.67,3.45,10.0,2.91,79.04,79.44,4.61,0.3,0.19,0.24,0.3,0.46,4.3,39,154,2.65,1,1,358.6,2,7.71,4.88,7.71,28.48,17.27,6.84,0.49,91,6
48,Male,78148,3.3,33,11,5.61,0.82,1.55,6,5.24,3.74,5.28,5.52,98.06,79.54,0.0,0.67,0.52,0.44,0.65,0.32,6.42,23,393,2.49,10,0,330.57,8,4.31,4.76,6.72,21.75,7.32,4.1,2.59,84,4
20,Female,6960,1.93,1,24,6.51,0.89,1.91,8,0.0,5.22,3.5,5.64,60.92,81.33,1.55,0.72,0.5,0.47,0.17,0.53,12.84,24,322,1.21,6,1,160.25,4,6.53,5.47,2.39,29.92,5.46,4.97,6.91,57,4
56,Male,56387,5.73,26,4,3.61,0.14,1.19,9,5.09,0.83,5.07,6.75,55.91,61.77,5.11,0.39,0.08,0.35,0.93,0.49,1.66,43,287,0.63,3,0,123.46,10,4.22,5.67,6.27,22.06,11.13,5.9,7.56,89,3
40,Female,7153,1.74,8,1,8.59,0.03,7.57,7,4.06,7.35,10.0,4.7,76.02,61.77,0.0,0.69,0.31,0.57,0.42,0.27,8.04,30,11,2.51,7,0,261.75,7,6.06,5.61,7.41,27.2,10.1,1.9,6.27,0,3
38,Male,148570,2.9,35,13,6.33,5.32,5.53,4,4.91,0.78,7.26,3.61,54.14,82.93,2.35,0.27,0.25,0.11,0.05,0.42,19.91,0,374,1.48,9,0,2.65,5,6.32,3.47,4.32,15.81,6.22,5.52,1.9,87,4
51,Female,62717,7.52,33,24,9.31,1.32,5.49,7,1.68,3.36,5.78,4.26,58.63,91.08,6.73,0.5,0.63,0.44,0.42,0.41,5.81,31,253,2.06,5,1,241.28,4,3.64,5.23,8.82,22.09,9.07,4.4,4.84,65,7
33,Female,43128,3.0,3,13,7.49,0.47,1.52,2,6.4,6.79,8.29,6.33,83.07,58.76,2.57,0.32,0.15,0.13,0.16,0.65,3.89,41,323,4.85,1,1,619.99,10,6.32,8.99,3.1,26.93,9.56,6.54,0.84,33,8
49,Female,121012,4.61,26,12,6.06,1.89,0.58,4,2.74,1.95,6.14,5.33,76.46,67.92,3.96,0.37,0.44,0.44,0.34,0.16,3.69,43,12,1.18,6,1,129.03,6,5.36,7.54,4.46,24.8,6.82,6.74,5.76,29,4
26,Female,114522,3.11,25,7,5.38,0.38,5.08,3,7.7,6.98,6.01,6.96,82.54,44.99,1.97,0.78,0.56,0.55,0.6,0.17,1.84,42,346,4.03,9,1,510.99,0,6.55,6.4,6.09,19.89,5.53,6.06,5.95,73,8
33,Male,132170,8.25,10,8,7.9,0.79,0.64,7,5.36,1.44,5.83,3.24,74.26,85.71,6.21,0.44,0.51,0.49,0.54,0.57,3.66,41,66,1.83,4,1,682.81,2,8.67,2.48,5.03,28.45,13.0,10.0,1.49,52,4
49,Male,84869,4.08,28,7,8.16,1.58,5.98,4,5.1,8.03,4.98,3.56,78.29,62.26,4.31,0.34,0.23,0.21,0.57,0.21,4.93,40,246,1.14,8,0,216.92,10,4.32,5.36,1.36,24.81,5.11,5.31,1.75,49,7
25,Male,40318,3.97,31,3,9.81,0.17,3.44,3,5.52,9.02,5.34,6.17,59.03,83.34,3.78,0.75,0.26,0.44,0.66,0.92,8.56,16,183,5.58,2,1,188.32,4,4.91,5.33,7.09,22.82,8.02,7.12,5.84,67,7
13,Male,106266,3.82,17,14,8.13,3.05,0.13,3,6.2,8.49,7.07,6.56,54.99,80.67,3.31,0.43,0.12,0.22,0.16,0.38,12.84,22,103,0.99,8,0,2250.47,1,6.55,6.82,8.56,18.88,5.44,7.79,5.26,52,8
14,Female,37402,5.8,25,1,4.98,0.08,0.85,3,5.35,3.02,7.54,5.66,76.28,66.17,4.27,0.75,0.29,0.77,0.46,0.51,4.27,43,278,1.75,8,1,360.22,10,0.05,4.26,3.81,21.56,9.83,6.43,3.98,5,10
33,Male,27186,4.0,17,11,5.99,2.14,1.36,7,6.53,2.44,5.22,4.54,76.17,57.25,3.03,0.86,0.17,0.54,0.65,0.31,8.73,5,166,6.66,6,0,225.48,10,3.83,5.28,8.99,27.91,6.36,5.62,3.35,6,7
18,Female,32631,0.92,32,19,5.64,2.71,0.33,3,4.85,5.14,4.32,7.16,77.27,42.51,0.0,0.24,0.26,0.54,0.35,0.37,24.04,30,461,3.2,3,0,201.42,5,8.55,3.46,7.37,23.37,22.18,6.32,3.05,18,2
16,Female,125056,6.26,31,1,8.49,0.58,0.77,3,7.42,4.28,6.31,0.32,77.37,54.35,2.9,0.37,0.12,0.32,0.62,0.36,2.91,10,321,0.71,6,1,308.26,3,6.57,4.86,3.97,28.64,12.16,1.64,0.42,97,10
30,Female,147381,4.7,29,17,5.79,0.55,0.8,5,9.2,3.31,2.77,5.53,71.21,59.48,3.21,0.18,0.22,0.46,0.49,0.9,7.62,45,94,1.49,4,1,72.01,5,3.44,8.6,6.22,24.6,8.91,0.62,1.96,11,3
19,Male,35892,3.38,20,3,6.92,0.29,7.33,5,4.3,5.59,5.11,6.84,67.39,76.37,2.49,0.88,0.25,0.48,0.75,0.77,8.67,13,239,4.52,6,1,118.63,8,4.4,6.56,6.1,20.73,12.15,3.02,1.74,24,10
18,Male,39780,0.21,14,8,5.65,2.36,0.94,8,4.75,10.0,7.19,6.55,87.25,100.0,1.08,0.46,0.4,0.08,0.14,0.9,5.17,17,253,2.8,0,0,638.25,4,4.91,7.77,3.71,20.14,5.87,7.03,0.73,77,5
54,Male,54025,1.16,19,3,7.86,4.82,2.3,7,2.59,1.96,4.82,6.66,58.66,78.5,0.31,0.06,0.18,0.07,0.25,0.81,5.26,14,241,3.26,2,1,464.11,9,1.76,6.86,5.82,23.87,1.62,3.32,1.72,79,2
20,Female,33336,1.79,8,22,4.18,0.31,3.74,5,1.12,8.54,5.64,3.69,79.58,66.42,1.17,0.3,0.38,0.53,0.36,0.23,3.86,19,120,2.96,4,1,392.82,8,4.31,2.01,4.04,23.62,7.36,2.07,4.42,4,2
40,Female,24509,2.39,32,23,7.26,3.22,0.0,7,6.6,5.52,6.76,5.46,80.93,60.23,0.53,0.16,0.66,0.6,0.62,0.67,4.47,23,357,1.82,5,1,386.61,5,6.63,3.3,3.64,21.83,12.12,6.77,5.12,95,3
29,Male,15039,4.0,4,1,7.9,0.64,0.92,9,3.54,4.06,3.43,5.98,64.38,90.09,0.88,0.48,0.23,0.18,0.51,0.45,4.24,24,229,0.62,8,0,89.61,2,2.84,3.54,5.17,23.1,6.86,5.17,1.71,70,6
51,Male,77146,4.73,11,3,7.9,0.75,2.15,6,3.2,4.38,4.53,6.1,70.81,63.22,3.7,0.76,0.26,0.4,0.45,0.05,4.1,17,45,1.86,6,1,2450.59,5,6.02,5.73,7.75,17.84,7.14,2.84,6.15,8,2
55,Female,147480,7.45,38,15,5.89,0.77,2.68,7,4.78,9.81,2.91,5.19,65.5,90.22,7.61,0.16,0.48,0.52,0.66,0.43,8.0,16,21,0.97,0,1,363.27,7,5.32,5.92,5.9,28.99,11.99,7.76,4.54,4,3
35,Female,82930,4.45,33,24,7.69,1.64,2.47,7,2.95,0.0,2.81,2.93,51.64,78.58,2.89,0.91,0.47,0.25,0.64,0.43,14.09,6,455,2.41,6,0,1064.92,7,5.18,3.2,4.61,31.5,9.46,4.87,4.22,97,1
13,Male,124762,1.46,26,17,5.14,1.36,0.5,4,6.79,8.18,4.74,5.7,67.84,51.3,0.0,0.58,0.31,0.47,0.43,0.39,4.03,21,139,1.32,5,0,1765.93,4,6.83,5.29,2.0,29.08,3.33,5.27,0.87,5,7
54,Male,71205,6.61,23,2,8.9,2.02,3.1,10,2.68,4.75,5.04,5.22,71.36,82.62,5.82,0.61,0.27,0.3,0.65,0.4,1.38,23,488,2.39,4,0,128.93,0,5.99,5.22,4.74,21.07,10.58,3.82,7.9,56,1
34,Male,107433,13.17,20,11,7.22,2.19,1.7,10,6.49,1.96,2.48,8.94,74.35,61.57,8.57,0.48,0.48,0.74,0.55,0.36,2.74,27,336,7.83,8,1,675.44,4,5.13,5.75,6.74,26.61,16.89,6.89,5.39,54,7
40,Female,37367,3.75,10,21,7.7,0.93,3.64,4,7.38,3.19,7.36,6.47,64.39,61.58,2.83,0.81,0.38,0.36,0.46,0.6,3.12,21,49,3.64,4,0,80.08,6,3.57,5.12,3.97,31.22,8.3,7.11,2.02,76,1
31,Male,67894,2.55,3,7,6.97,2.55,5.69,2,5.88,4.7,2.79,7.59,74.32,72.52,0.0,0.72,0.17,0.1,0.23,0.61,6.83,16,215,1.03,9,0,1594.14,10,6.08,6.84,7.23,29.82,9.11,4.5,2.89,49,1
56,Male,8954,5.36,24,2,6.21,0.03,1.22,6,3.9,1.85,5.8,4.52,46.9,68.28,2.9,0.48,0.55,0.55,0.62,0.46,9.61,25,152,3.02,8,0,193.89,0,7.44,5.48,8.06,29.32,9.93,1.55,2.19,39,1
58,Female,141565,3.08,14,14,7.5,0.54,1.11,1,10.0,4.83,7.73,4.05,72.53,80.59,2.02,0.26,0.51,0.46,0.79,0.33,2.98,1,312,0.14,5,1,1772.16,0,4.7,6.86,6.86,26.9,6.97,4.93,7.5,97,2
33,Male,78391,8.77,18,21,7.28,0.75,0.37,7,6.42,6.45,7.12,5.67,52.58,69.02,5.48,0.58,0.1,0.35,0.83,0.52,5.43,44,19,2.21,1,1,1383.26,7,10.0,6.19,5.78,21.97,21.48,4.48,5.79,27,9
32,Female,144975,3.76,31,6,9.59,0.46,2.36,6,3.06,6.44,7.11,2.5,66.44,81.31,1.57,0.76,0.5,0.33,0.77,0.69,6.97,41,241,1.49,0,0,162.94,3,1.94,7.38,7.18,25.79,9.93,5.24,7.17,67,4
23,Male,71439,7.56,12,21,7.19,1.29,2.25,7,6.11,4.83,9.4,4.54,78.13,46.92,6.07,0.49,0.33,0.18,0.82,0.81,6.1,18,445,2.06,7,1,379.65,6,2.4,6.53,4.9,25.1,10.89,10.0,8.71,48,5
27,Female,127864,1.54,21,13,7.82,1.34,0.08,9,3.56,5.63,8.54,7.72,72.05,100.0,0.06,0.42,0.7,0.48,0.27,0.15,9.65,5,433,0.31,4,1,240.42,8,3.59,4.42,5.63,15.62,6.07,6.05,7.45,82,6
42,Female,118698,5.65,24,5,5.17,2.56,0.58,3,6.69,4.88,6.79,5.11,65.22,55.72,5.14,0.34,0.12,0.24,0.66,0.15,12.5,22,491,4.11,2,1,125.07,8,5.84,5.78,4.78,29.44,10.23,6.42,6.74,27,5
44,Male,85693,2.11,19,20,6.46,3.31,0.32,5,7.22,5.55,3.09,5.86,49.65,32.07,0.0,0.75,0.17,0.33,0.64,0.41,3.64,1,142,1.03,3,1,458.54,5,7.17,7.11,6.49,28.69,7.91,5.77,1.66,17,8
